City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
613,abonnema,NG,26.0,few clouds,4.7084,6.7931,Corper's Lodge Obonoma
614,salem,IN,24.0,mist,11.65,78.1667,Hotel Laila palace
616,sao joao da barra,BR,24.82,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
617,kinkala,CG,24.0,broken clouds,-4.3614,14.7644,Hotel la Pepeche Kinkala
620,pimenta bueno,BR,23.33,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
621,porto novo,BJ,26.27,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
626,wajir,KE,23.0,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
627,buchanan,LR,24.0,mist,5.8808,-10.0467,Kamaneahn Hotel Inc
636,itinga,BR,20.86,overcast clouds,-16.6131,-41.7653,Hotel Restaurante Itinga
638,araguaina,BR,23.16,overcast clouds,-7.1911,-48.2072,Hotel São Vicente
647,dingle,PH,28.69,light rain,10.9995,122.6711,SEGAYA PROPERTY
648,road town,VG,26.11,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
652,umm kaddadah,SD,20.65,clear sky,13.6017,26.6876,
655,lamu,KE,22.0,mist,-2.2717,40.902,Lamu House
656,cabinda,AO,26.29,moderate rain,-5.55,12.2,"Hotel Executivo , 3 estrelas"
657,vilhena,BR,21.15,overcast clouds,-12.7406,-60.1458,Hotel Mirage
658,rafai,CF,20.2,broken clouds,4.95,23.9167,
662,ferkessedougou,CI,20.26,clear sky,9.6,-5.2,Hotel Chateau
664,cabo rojo,PR,26.11,few clouds,18.0866,-67.1457,Hotel Perichi's
665,alegrete,BR,23.75,overcast clouds,-29.7831,-55.7919,Hotel Alegrete
670,macau,MO,23.0,clear sky,22.2006,113.5461,Grand Emperor Hotel
672,nueva granada,CO,25.73,overcast clouds,9.8017,-74.393,hospedaje betania
674,kalemie,CD,21.83,overcast clouds,-5.9475,29.1947,Mahobilali
678,razole,IN,24.0,mist,16.4833,81.8333,Sterling Palavelli Godavari
