City_ID,City,Country,Lat,Lng,Max Temp,Humidty,Cloudiness,Wind Speed,Current Description
561,gdov,RU,58.7406,27.8122,-7.06,97,95,3.46,overcast clouds
562,peniche,PT,39.3558,-9.3811,15.0,76,100,2.24,overcast clouds
563,nuqui,CO,5.7125,-77.2708,25.25,84,86,0.23,overcast clouds
564,podgorica,ME,42.4411,19.2636,8.0,100,90,1.54,mist
565,vladicin han,RS,42.7078,22.0633,6.67,90,97,1.49,overcast clouds
566,rosetta,EG,31.4044,30.4164,11.0,93,82,1.03,broken clouds
567,manbij,SY,36.5281,37.9549,7.0,87,75,2.06,broken clouds
568,kashi,CN,39.4547,75.9797,-4.0,58,0,2.0,clear sky
569,chicama,PE,-7.8447,-79.1469,21.74,75,100,3.26,overcast clouds
570,kolvereid,NO,64.8655,11.6047,-5.54,95,100,2.63,overcast clouds
571,nova petropolis,BR,-29.3764,-51.1144,25.0,97,34,0.89,scattered clouds
572,tonstad,NO,58.6626,6.7169,-3.89,93,1,0.45,clear sky
573,lyuban,BY,52.7985,28.0048,-9.81,94,99,2.5,overcast clouds
574,antequera,ES,37.0194,-4.5612,15.0,72,20,9.77,few clouds
575,srivardhan,IN,18.0333,73.0167,27.97,38,0,2.1,clear sky
576,san lawrenz,MT,36.0553,14.204,14.44,88,40,4.12,scattered clouds
577,valparaiso,CL,-33.0393,-71.6273,15.0,100,90,1.03,overcast clouds
578,husavik,IS,66.0449,-17.3389,-7.0,79,0,1.03,clear sky
579,viseu,PT,40.661,-7.9097,11.67,93,100,3.58,overcast clouds
580,ozinki,RU,51.1786,49.6769,1.42,97,100,11.34,overcast clouds
581,rabo de peixe,PT,37.8,-25.5833,15.0,88,40,8.23,scattered clouds
582,barentu,ER,15.1139,37.5928,15.55,88,0,0.99,clear sky
583,novodolinskiy,KZ,49.705,72.7047,-20.0,77,0,1.0,clear sky
584,bathsheba,BB,13.2167,-59.5167,26.0,65,75,8.23,broken clouds
585,fomento,CU,22.1039,-79.7217,19.0,88,40,3.09,scattered clouds
586,bilma,NE,18.6853,12.9164,15.0,26,0,2.7,clear sky
587,rincon,US,32.296,-81.2354,6.0,56,90,6.69,overcast clouds
