City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2021-01-31 00:36:00,-34.5322,20.0403,66.99,84,0,6.22
1,Saint George,US,2021-01-31 00:31:13,37.1041,-113.5841,50.0,50,1,1.41
2,Georgetown,MY,2021-01-31 00:36:06,5.4112,100.3354,77.0,83,20,6.78
3,Ushuaia,AR,2021-01-31 00:35:51,-54.8,-68.3,51.8,62,20,21.85
4,Vardo,NO,2021-01-31 00:36:11,70.3705,31.1107,25.18,95,100,19.01
5,El Alto,PE,2021-01-31 00:36:12,-4.2714,-81.2147,78.8,73,75,9.22
6,Torbay,CA,2021-01-31 00:36:12,47.6666,-52.7314,28.99,93,90,8.05
7,Ribeira Grande,PT,2021-01-31 00:36:13,38.5167,-28.7,63.16,91,97,22.06
8,Pisco,PE,2021-01-31 00:32:59,-13.7,-76.2167,73.4,68,0,17.27
9,Hermanus,ZA,2021-01-31 00:35:20,-34.4187,19.2345,66.99,84,1,9.6
10,Port Elizabeth,ZA,2021-01-31 00:36:13,-33.918,25.5701,62.6,94,0,6.91
11,Kyabe,TD,2021-01-31 00:36:14,9.4515,18.9449,73.83,21,0,5.68
12,Longyearbyen,SJ,2021-01-31 00:36:14,78.2186,15.6401,-4.0,65,20,19.57
13,Dikson,RU,2021-01-31 00:35:25,73.5069,80.5464,-34.28,80,0,6.85
14,Mar Del Plata,AR,2021-01-31 00:32:08,-38.0023,-57.5575,62.01,63,75,18.41
15,Saint-Philippe,RE,2021-01-31 00:35:03,-21.3585,55.7679,78.8,65,0,6.91
16,Ler,SS,2021-01-31 00:31:39,8.3018,30.1418,70.99,22,0,6.11
17,Nangomba,TZ,2021-01-31 00:36:15,-10.9,38.5,70.99,96,100,3.89
18,Muros,ES,2021-01-31 00:36:15,42.7762,-9.0603,55.0,90,100,5.99
19,Saint-Joseph,RE,2021-01-31 00:36:15,-21.3667,55.6167,78.8,65,0,6.91
20,Souillac,MU,2021-01-31 00:36:15,-20.5167,57.5167,78.8,83,40,8.05
21,Tessalit,ML,2021-01-31 00:36:16,20.1986,1.0114,61.95,24,0,11.3
22,Filadelfia,US,2021-01-31 00:32:05,39.9523,-75.1638,32.0,37,20,5.75
23,Saldanha,ZA,2021-01-31 00:36:16,-33.0117,17.9442,63.63,92,0,1.63
24,Mantua,IT,2021-01-31 00:36:17,45.1667,10.7833,42.01,93,90,4.61
25,Punta Arenas,CL,2021-01-31 00:33:08,-53.15,-70.9167,51.8,62,0,26.46
26,Busselton,AU,2021-01-31 00:35:08,-33.65,115.3333,75.99,58,0,8.48
27,Najran,SA,2021-01-31 00:36:17,17.4924,44.1277,59.0,29,0,2.89
28,Mangrol,IN,2021-01-31 00:36:17,21.1167,70.1167,61.86,32,0,10.6
29,Salalah,OM,2021-01-31 00:36:18,17.0151,54.0924,66.2,68,0,3.44
30,Ponta Do Sol,PT,2021-01-31 00:36:18,32.6667,-17.1,59.0,74,45,1.99
31,Kalaleh,IR,2021-01-31 00:36:18,37.3807,55.4916,47.79,71,0,3.06
32,Hambantota,LK,2021-01-31 00:36:18,6.1241,81.1185,75.2,100,20,9.22
33,Grand Gaube,MU,2021-01-31 00:36:18,-20.0064,57.6608,77.0,86,3,3.0
34,Aksu,CN,2021-01-31 00:36:19,41.1231,80.2644,15.8,86,28,3.02
35,Chapais,CA,2021-01-31 00:32:39,49.7834,-74.8492,-4.0,77,90,6.91
36,Nettuno,IT,2021-01-31 00:36:20,41.4826,12.679,57.99,88,100,15.99
37,Sisimiut,GL,2021-01-31 00:36:20,66.9395,-53.6735,6.3,90,74,7.65
38,Dingle,PH,2021-01-31 00:36:20,10.9995,122.6711,78.03,80,87,16.17
39,Havelock,US,2021-01-31 00:35:24,34.8791,-76.9013,37.0,55,1,4.61
40,Paita,PE,2021-01-31 00:35:25,-5.0892,-81.1144,78.8,73,75,9.22
41,Mahibadhoo,MV,2021-01-31 00:36:21,3.7833,72.9667,80.91,75,2,13.13
42,Arroyo,ES,2021-01-31 00:36:21,41.6096,-4.7969,46.0,81,75,19.57
43,Jumla,NP,2021-01-31 00:36:22,29.2747,82.1838,29.57,56,0,3.62
44,Road Town,VG,2021-01-31 00:36:22,18.4167,-64.6167,77.0,83,40,10.36
45,Abu Dhabi,AE,2021-01-31 00:36:22,24.4667,54.3667,66.2,77,0,12.19
46,Sirjan,IR,2021-01-31 00:36:22,29.452,55.6814,44.64,59,0,7.45
47,Klaksvik,FO,2021-01-31 00:36:23,62.2266,-6.589,32.0,74,75,23.02
48,Tankara,IN,2021-01-31 00:36:23,22.6667,70.7333,51.8,62,0,3.44
49,Hamilton,US,2021-01-31 00:36:23,39.1834,-84.5333,33.01,93,90,10.36
50,Stornoway,GB,2021-01-31 00:36:23,58.2093,-6.3865,37.99,60,40,11.5
51,Arraial Do Cabo,BR,2021-01-31 00:34:26,-22.9661,-42.0278,77.0,82,0,26.98
52,Bogdanovich,RU,2021-01-31 00:36:24,56.7803,62.0494,11.57,96,78,1.48
53,Ambatondrazaka,MG,2021-01-31 00:36:25,-17.8333,48.4167,65.88,93,38,1.25
54,Necochea,AR,2021-01-31 00:36:25,-38.5473,-58.7368,59.0,66,95,11.97
55,Virginia Beach,US,2021-01-31 00:33:31,36.8529,-75.978,34.0,55,90,2.3
56,Manama,BH,2021-01-31 00:36:25,26.2154,50.5832,66.2,55,0,13.8
57,Bathsheba,BB,2021-01-31 00:36:26,13.2167,-59.5167,78.8,73,40,17.27
58,Upernavik,GL,2021-01-31 00:36:26,72.7868,-56.1549,-9.45,85,77,6.51
59,Mahebourg,MU,2021-01-31 00:32:24,-20.4081,57.7,78.8,83,40,8.05
60,Iqaluit,CA,2021-01-31 00:36:26,63.7506,-68.5145,-9.0,77,1,19.57
